time,result
2025-04-29 07:10:01.680990+00:00,-2.665
2025-04-29 07:04:47.055725+00:00,-2.636
2025-04-29 06:59:39.470650+00:00,-2.605
2025-04-29 06:54:24.707084+00:00,-2.568
2025-04-29 06:49:09.948990+00:00,-2.534
2025-04-29 06:43:55.290968+00:00,-2.494
2025-04-29 06:38:47.563386+00:00,-2.454
2025-04-29 06:28:30.325388+00:00,-2.371
2025-04-29 06:23:21.551032+00:00,-2.328
2025-04-29 06:18:12.919635+00:00,-2.284
2025-04-29 06:07:55.584698+00:00,-2.196
2025-04-29 06:02:47.020278+00:00,-2.146
2025-04-29 05:57:38.361988+00:00,-2.107
2025-04-29 05:52:29.807562+00:00,-2.059
2025-04-29 05:47:21.290917+00:00,-2.009
2025-04-29 05:42:12.712754+00:00,-1.969
2025-04-29 05:37:04.061029+00:00,-1.915
2025-04-29 05:31:55.429117+00:00,-1.871
2025-04-29 05:26:46.790142+00:00,-1.821
2025-04-29 05:21:38.233147+00:00,-1.775
2025-04-29 05:16:29.535477+00:00,-1.732
2025-04-29 05:11:21.012086+00:00,-1.684
2025-04-29 05:06:12.544282+00:00,-1.64
2025-04-29 05:01:05.044450+00:00,-1.59
2025-04-29 04:55:56.348931+00:00,-1.539
2025-04-29 04:50:47.674171+00:00,-1.493
2025-04-29 04:45:39.173674+00:00,-1.445
2025-04-29 04:40:30.440244+00:00,-1.396
2025-04-29 04:35:22.070177+00:00,-1.354
2025-04-29 04:30:13.567841+00:00,-1.304
2025-04-29 04:25:04.851439+00:00,-1.259
2025-04-29 04:19:56.277054+00:00,-1.214
2025-04-29 04:14:47.734589+00:00,-1.177
2025-04-29 04:09:39.368438+00:00,-1.135
2025-04-29 04:04:30.759833+00:00,-1.094
2025-04-29 03:59:22.171749+00:00,-1.059
2025-04-29 03:54:13.601441+00:00,-1.022
2025-04-29 03:49:04.906901+00:00,-0.99
2025-04-29 03:43:50.009389+00:00,-0.958
2025-04-29 03:38:40.907605+00:00,-0.927
2025-04-29 03:33:32.268310+00:00,-0.897
2025-04-29 03:28:23.733013+00:00,-0.868
2025-04-29 03:23:15.335516+00:00,-0.721
2025-04-29 03:18:07.792550+00:00,-0.721
2025-04-29 03:13:00.278992+00:00,-0.717
2025-04-29 03:07:51.929334+00:00,-0.718
2025-04-29 03:02:43.261040+00:00,-0.716
2025-04-29 02:57:34.761705+00:00,-0.691
2025-04-29 02:52:26.167470+00:00,-0.67
2025-04-29 02:47:17.497175+00:00,-0.642
2025-04-29 02:42:08.861681+00:00,-0.617
2025-04-29 02:37:01.243768+00:00,-0.591
2025-04-29 02:31:52.558185+00:00,-0.567
2025-04-29 02:26:44.027130+00:00,-0.546
2025-04-29 02:21:35.406133+00:00,-0.522
2025-04-29 01:25:02.822903+00:00,-0.516
2025-04-29 01:19:55.294628+00:00,-0.558
2025-04-29 01:14:46.668362+00:00,-0.578
2025-04-29 01:09:38.031239+00:00,-0.614
2025-04-29 01:04:29.458966+00:00,-0.643
2025-04-29 00:59:20.766576+00:00,-0.677
2025-04-29 00:54:12.155021+00:00,-0.703
2025-04-29 00:49:03.595574+00:00,-0.737
2025-04-29 00:43:54.851520+00:00,-0.769
2025-04-29 00:38:46.120957+00:00,-0.8
2025-04-29 00:33:37.524259+00:00,-0.832
2025-04-29 00:28:28.928888+00:00,-0.884
2025-04-29 00:23:20.354418+00:00,-0.927
2025-04-29 00:18:11.669290+00:00,-0.963
2025-04-29 00:13:03.019087+00:00,-0.999
2025-04-29 00:07:54.443725+00:00,-1.036
2025-04-29 00:02:45.814467+00:00,-1.07
2025-04-28 23:57:37.080638+00:00,-1.103
2025-04-28 23:52:28.519591+00:00,-1.133
2025-04-28 23:47:19.982848+00:00,-1.172
2025-04-28 23:42:11.418670+00:00,-1.21
2025-04-28 23:37:04.071870+00:00,-1.245
2025-04-28 23:31:55.630706+00:00,-1.285
2025-04-28 23:26:47.139260+00:00,-1.324
2025-04-28 23:21:38.522410+00:00,-1.372
2025-04-28 23:16:29.889809+00:00,-1.42
2025-04-28 23:11:21.203793+00:00,-1.459
2025-04-28 23:06:12.564625+00:00,-1.504
2025-04-28 23:01:04.000206+00:00,-1.552
2025-04-28 22:55:55.400085+00:00,-1.604
2025-04-28 22:50:46.902315+00:00,-1.669
2025-04-28 22:45:38.199134+00:00,-1.729
2025-04-28 22:40:29.547931+00:00,-1.796
2025-04-28 22:35:21.211380+00:00,-1.861
2025-04-28 22:30:12.705510+00:00,-1.921
2025-04-28 22:25:04.092229+00:00,-1.987
2025-04-28 22:19:55.705506+00:00,-2.054
2025-04-28 22:14:48.287324+00:00,-2.127
2025-04-28 22:09:39.741556+00:00,-2.195
2025-04-28 22:04:31.393490+00:00,-2.265
2025-04-28 21:59:22.783892+00:00,-2.336
2025-04-28 21:54:15.143335+00:00,-2.407
2025-04-28 21:49:06.566103+00:00,-2.474
2025-04-28 21:43:57.941029+00:00,-2.545
2025-04-28 21:38:49.351148+00:00,-2.634
2025-04-28 21:33:40.754992+00:00,-2.723
2025-04-28 21:28:32.326439+00:00,-2.807
2025-04-28 21:23:23.741238+00:00,-2.897
2025-04-28 21:18:15.142997+00:00,-2.98
2025-04-28 21:13:06.637018+00:00,-3.033
2025-04-28 21:07:57.940874+00:00,-3.074
2025-04-28 21:02:49.231694+00:00,-3.1
2025-04-28 20:57:40.396665+00:00,-3.099
2025-04-28 20:52:31.859299+00:00,-3.099
2025-04-28 20:47:23.083459+00:00,-3.098
2025-04-28 20:37:05.704489+00:00,-3.081
2025-04-28 20:31:57.192809+00:00,-3.087
2025-04-28 20:26:48.606712+00:00,-3.079
2025-04-28 20:21:40.101021+00:00,-3.077
2025-04-28 20:16:31.646886+00:00,-3.062
2025-04-28 20:11:22.962696+00:00,-3.062
2025-04-28 20:06:15.391833+00:00,-3.057
2025-04-28 20:01:06.737438+00:00,-3.043
2025-04-28 19:55:58.118298+00:00,-3.034
2025-04-28 19:50:49.514113+00:00,-3.027
2025-04-28 19:45:40.851746+00:00,-3.017
2025-04-28 19:40:32.449147+00:00,-3.009
2025-04-28 19:35:23.858543+00:00,-3.0
2025-04-28 19:30:15.397699+00:00,-2.998
2025-04-28 19:25:00.547401+00:00,-2.981
2025-04-28 19:14:42.818253+00:00,-2.957
2025-04-28 19:09:34.325427+00:00,-2.937
2025-04-28 19:04:25.734607+00:00,-2.929
2025-04-28 18:59:17.072603+00:00,-2.916
2025-04-28 18:54:08.514405+00:00,-2.9
2025-04-28 18:49:00.030682+00:00,-2.885
2025-04-28 18:43:51.542796+00:00,-2.865
2025-04-28 18:38:42.920424+00:00,-2.842
2025-04-28 18:33:34.390806+00:00,-2.824
2025-04-28 18:28:25.883719+00:00,-2.806
2025-04-28 18:23:18.527976+00:00,-2.779
2025-04-28 18:18:09.822589+00:00,-2.749
2025-04-28 18:13:01.208871+00:00,-2.725
2025-04-28 18:07:52.627988+00:00,-2.703
2025-04-28 18:02:44.084064+00:00,-2.671
2025-04-28 17:57:35.444871+00:00,-2.635
2025-04-28 17:52:27.915469+00:00,-2.599
2025-04-28 17:47:19.346527+00:00,-2.563
2025-04-28 17:42:10.699662+00:00,-2.523
2025-04-28 17:37:02.114747+00:00,-2.486
2025-04-28 17:31:53.614356+00:00,-2.444
2025-04-28 17:26:45.172449+00:00,-2.397
2025-04-28 17:21:36.490868+00:00,-2.347
2025-04-28 17:16:27.714873+00:00,-2.302
2025-04-28 17:11:19.118768+00:00,-2.253
2025-04-28 17:06:10.467305+00:00,-2.206
2025-04-28 17:01:01.863087+00:00,-2.163
2025-04-28 16:55:53.294633+00:00,-2.115
2025-04-28 16:50:44.612056+00:00,-2.064
2025-04-28 16:45:35.997951+00:00,-2.022
2025-04-28 16:40:28.466438+00:00,-1.972
2025-04-28 16:35:20.912438+00:00,-1.924
2025-04-28 16:30:13.323540+00:00,-1.886
2025-04-28 16:25:04.918139+00:00,-1.837
2025-04-28 16:19:56.280942+00:00,-1.797
2025-04-28 16:14:47.664152+00:00,-1.75
2025-04-28 16:09:39.083519+00:00,-1.701
2025-04-28 16:04:30.649831+00:00,-1.657
2025-04-28 15:59:21.854867+00:00,-1.615
2025-04-28 15:54:13.372993+00:00,-1.576
2025-04-28 15:49:04.811694+00:00,-1.534
2025-04-28 15:43:56.389229+00:00,-1.494
2025-04-28 15:38:47.864441+00:00,-1.453
2025-04-28 15:33:39.346021+00:00,-1.417
2025-04-28 15:28:30.708049+00:00,-1.375
2025-04-28 15:23:22.056797+00:00,-1.34
2025-04-28 15:18:13.315177+00:00,-1.303
2025-04-28 15:13:04.543382+00:00,-1.266
2025-04-28 15:07:55.931201+00:00,-1.231
2025-04-28 15:02:47.359300+00:00,-1.204
2025-04-28 14:57:38.743149+00:00,-1.177
2025-04-28 14:52:31.155713+00:00,-1.147
2025-04-28 14:47:22.621646+00:00,-1.122
2025-04-28 14:42:14.070062+00:00,-1.096
2025-04-28 14:31:57.249150+00:00,-1.047
2025-04-28 14:26:48.725415+00:00,-1.023
2025-04-28 14:21:40.147873+00:00,-1.0
2025-04-28 14:16:31.519649+00:00,-0.979
2025-04-28 14:11:22.778553+00:00,-0.961
2025-04-28 14:06:13.751151+00:00,-0.939
2025-04-28 14:01:04.592038+00:00,-0.918
2025-04-28 13:55:55.711885+00:00,-1.806
2025-04-28 13:50:47.073209+00:00,-1.775
2025-04-28 13:45:38.450170+00:00,-1.752
2025-04-28 13:40:29.697209+00:00,-1.746
2025-04-28 13:35:21.051816+00:00,-1.756
2025-04-28 13:30:13.189605+00:00,-1.783
2025-04-28 13:25:04.560189+00:00,-0.897
2025-04-28 13:19:56.018543+00:00,-1.421
2025-04-28 13:14:47.443921+00:00,-0.887
2025-04-28 13:09:38.848414+00:00,-0.888
2025-04-28 13:04:31.369646+00:00,-0.889
2025-04-28 12:59:23.677938+00:00,-0.916
2025-04-28 12:54:16.115661+00:00,-0.932
2025-04-28 12:49:07.626907+00:00,-0.905
2025-04-28 12:43:58.962279+00:00,-0.711
2025-04-28 12:38:50.190609+00:00,-0.711
2025-04-28 12:33:41.479955+00:00,-0.711
2025-04-28 12:28:33.051576+00:00,-0.706
2025-04-28 12:23:24.293601+00:00,-0.707
2025-04-28 12:18:15.634760+00:00,-1.08
2025-04-28 12:13:07.222506+00:00,-1.102
2025-04-28 12:02:50.362824+00:00,-0.707
2025-04-28 11:57:41.928662+00:00,-0.705
2025-04-28 11:52:33.324084+00:00,-0.708
2025-04-28 11:47:24.765434+00:00,-0.706
2025-04-28 11:42:16.047535+00:00,-0.705
2025-04-28 11:37:07.386083+00:00,-0.707
2025-04-28 11:31:58.757393+00:00,-0.707
2025-04-28 11:26:50.287877+00:00,-0.71
2025-04-28 11:21:41.748346+00:00,-0.69
2025-04-28 11:16:33.143583+00:00,-1.427
2025-04-28 11:11:24.578609+00:00,-1.462
2025-04-28 11:06:10.541335+00:00,-1.503
2025-04-28 11:01:01.456761+00:00,-1.551
2025-04-28 10:55:52.969741+00:00,-1.595
2025-04-28 10:50:44.320885+00:00,-1.644
2025-04-28 10:45:35.751547+00:00,-1.684
2025-04-28 10:40:27.118717+00:00,-1.728
2025-04-28 10:35:18.620373+00:00,-0.693
2025-04-28 10:30:10.107179+00:00,-0.692
2025-04-28 10:25:01.487743+00:00,-1.881
2025-04-28 10:19:53.028840+00:00,-0.865
2025-04-28 10:14:44.565973+00:00,-1.99
2025-04-28 10:09:35.912542+00:00,-2.05
2025-04-28 10:04:27.501190+00:00,-2.11
2025-04-28 09:59:19.019776+00:00,-2.158
2025-04-28 09:54:10.347109+00:00,-2.209
2025-04-28 09:49:01.772651+00:00,-2.266
2025-04-28 09:43:53.288007+00:00,-2.32
2025-04-28 09:38:44.672783+00:00,-2.372
2025-04-28 09:33:35.927842+00:00,-2.424
2025-04-28 09:28:28.271188+00:00,-2.479
2025-04-28 09:23:19.772846+00:00,-2.539
2025-04-28 09:18:11.142992+00:00,-2.601
2025-04-28 09:13:02.605346+00:00,-2.665
2025-04-28 09:07:55.172985+00:00,-2.723
2025-04-28 09:02:46.561981+00:00,-2.775
2025-04-28 08:57:38.062338+00:00,-2.817
2025-04-28 08:52:29.335434+00:00,-2.854
2025-04-28 08:47:20.737571+00:00,-2.892
2025-04-28 08:42:12.193065+00:00,-2.927
2025-04-28 08:37:03.635486+00:00,-2.958
2025-04-28 08:31:54.863152+00:00,-2.963
2025-04-28 08:26:46.131735+00:00,-2.957
2025-04-28 08:21:37.541596+00:00,-2.948
2025-04-28 08:16:28.887067+00:00,-2.94
2025-04-28 08:11:20.451336+00:00,-2.931
2025-04-28 08:06:11.789523+00:00,-2.921
2025-04-28 08:01:03.056514+00:00,-2.911
2025-04-28 07:55:54.592454+00:00,-2.904
2025-04-28 07:50:45.976359+00:00,-2.897
2025-04-28 07:45:38.332288+00:00,-2.888
2025-04-28 07:40:30.774336+00:00,-2.88
2025-04-28 07:35:22.177818+00:00,-2.873
2025-04-28 07:30:13.541940+00:00,-2.865
2025-04-28 07:25:04.889582+00:00,-2.858
2025-04-28 07:19:56.239978+00:00,-2.848
2025-04-28 07:14:47.469440+00:00,-2.836
2025-04-28 07:09:39.056179+00:00,-2.827
2025-04-28 07:04:30.176496+00:00,-2.814
2025-04-28 06:59:21.698029+00:00,-2.802
2025-04-28 06:54:13.121353+00:00,-2.787
2025-04-28 06:49:04.484092+00:00,-2.77
2025-04-28 06:43:55.955785+00:00,-2.749
2025-04-28 06:38:47.230305+00:00,-2.729
2025-04-28 06:33:38.783763+00:00,-2.707
2025-04-28 06:28:30.094039+00:00,-2.682
2025-04-28 06:23:21.527255+00:00,-2.655
2025-04-28 06:18:12.899019+00:00,-2.626
2025-04-28 06:13:04.213174+00:00,-2.593
2025-04-28 06:07:55.573615+00:00,-2.559
2025-04-28 06:02:46.993613+00:00,-2.524
2025-04-28 05:57:39.397730+00:00,-2.485
2025-04-28 05:52:30.951252+00:00,-2.45
2025-04-28 05:47:22.324697+00:00,-2.407
2025-04-28 05:42:13.785155+00:00,-2.366
2025-04-28 05:37:04.957106+00:00,-2.324
2025-04-28 05:26:47.574191+00:00,-2.236
2025-04-28 05:21:38.906513+00:00,-2.186
2025-04-28 05:16:30.116158+00:00,-2.144
2025-04-28 05:11:21.448476+00:00,-2.096
2025-04-28 05:06:12.764952+00:00,-2.053
2025-04-28 05:01:04.072799+00:00,-2.008
2025-04-28 04:55:55.475431+00:00,-1.959
2025-04-28 04:50:46.880113+00:00,-1.907
2025-04-28 04:45:39.408008+00:00,-1.869
2025-04-28 04:40:30.739961+00:00,-1.82
2025-04-28 04:35:22.216421+00:00,-1.773
2025-04-28 04:30:13.522903+00:00,-1.731
2025-04-28 04:25:04.958492+00:00,-1.679
2025-04-28 04:19:56.514658+00:00,-1.633
2025-04-28 04:14:47.822945+00:00,-1.585
2025-04-28 04:09:40.364211+00:00,-1.536
2025-04-28 04:04:32.891224+00:00,-1.484
2025-04-28 03:59:24.396969+00:00,-1.437
2025-04-28 03:54:15.729112+00:00,-1.393
2025-04-28 03:49:07.200177+00:00,-1.346
2025-04-28 03:43:58.612713+00:00,-1.305
2025-04-28 03:38:50.103759+00:00,-1.258
2025-04-28 03:33:41.599774+00:00,-1.213
2025-04-28 03:28:32.922961+00:00,-1.142
2025-04-28 03:23:24.404721+00:00,-0.752
2025-04-28 03:18:15.725102+00:00,-0.723
2025-04-28 03:13:07.046306+00:00,-1.011
2025-04-28 03:07:58.438869+00:00,-0.721
2025-04-28 03:02:49.723781+00:00,-0.72
2025-04-28 02:57:41.392484+00:00,-0.751
2025-04-28 02:52:32.921276+00:00,-0.715
2025-04-28 02:47:17.951592+00:00,-0.714
2025-04-28 02:42:08.824620+00:00,-0.701
2025-04-28 02:37:00.207366+00:00,-0.705
2025-04-28 02:31:51.647727+00:00,-0.688
2025-04-28 02:26:44.283270+00:00,-0.713
2025-04-28 02:21:36.682810+00:00,-0.708
2025-04-28 02:16:28.041644+00:00,-0.676
2025-04-28 02:11:19.484513+00:00,-0.645
2025-04-28 02:06:10.868771+00:00,-0.603
2025-04-28 02:01:02.278799+00:00,-0.598
2025-04-28 01:55:53.631543+00:00,-0.573
2025-04-28 01:50:45.155443+00:00,-0.548
2025-04-28 01:45:36.557975+00:00,-0.514
2025-04-28 00:13:03.765527+00:00,-0.519
2025-04-28 00:02:46.638533+00:00,-0.584
2025-04-27 23:57:37.933326+00:00,-0.618
2025-04-27 23:52:29.486660+00:00,-0.655
2025-04-27 23:47:20.852947+00:00,-0.686
2025-04-27 23:42:12.270304+00:00,-0.72
2025-04-27 23:37:03.819804+00:00,-0.756
2025-04-27 23:31:55.120058+00:00,-0.797
2025-04-27 23:26:47.523397+00:00,-0.843
2025-04-27 23:21:39.004442+00:00,-0.885
2025-04-27 23:16:30.323993+00:00,-0.926
2025-04-27 23:11:21.743314+00:00,-0.966
2025-04-27 23:06:13.165482+00:00,-1.005
2025-04-27 23:01:04.635264+00:00,-1.046
2025-04-27 22:55:56.026293+00:00,-1.086
2025-04-27 22:50:47.522107+00:00,-1.119
2025-04-27 22:45:39.913938+00:00,-1.153
2025-04-27 22:40:31.465562+00:00,-1.192
2025-04-27 22:35:22.850409+00:00,-1.233
2025-04-27 22:30:14.247414+00:00,-1.272
2025-04-27 22:25:05.630991+00:00,-1.315
2025-04-27 22:19:57.003707+00:00,-1.351
2025-04-27 22:14:48.409625+00:00,-1.391
2025-04-27 22:09:39.823301+00:00,-1.438
2025-04-27 22:04:31.416066+00:00,-1.488
2025-04-27 21:59:22.815535+00:00,-1.549
2025-04-27 21:54:14.227472+00:00,-1.608
2025-04-27 21:49:05.686748+00:00,-1.673
2025-04-27 21:43:57.127945+00:00,-1.735
2025-04-27 21:33:40.103668+00:00,-1.865
2025-04-27 21:28:31.356798+00:00,-1.94
2025-04-27 21:23:22.712141+00:00,-2.014
2025-04-27 21:18:14.042042+00:00,-2.089
2025-04-27 21:13:05.326690+00:00,-2.163
2025-04-27 21:07:56.807888+00:00,-2.244
2025-04-27 21:02:48.129627+00:00,-2.313
2025-04-27 20:57:40.485667+00:00,-2.398
2025-04-27 20:52:31.988086+00:00,-2.49
2025-04-27 20:47:23.403864+00:00,-2.576
2025-04-27 20:42:14.676347+00:00,-2.686
2025-04-27 20:37:05.991229+00:00,-2.789
2025-04-27 20:31:57.465212+00:00,-2.909
2025-04-27 20:26:48.798083+00:00,-3.01
2025-04-27 20:21:40.310925+00:00,-3.075
2025-04-27 20:16:31.675104+00:00,-3.111
2025-04-27 20:11:23.049914+00:00,-3.137
